incident_number,converted response,avg response
18005563,3.35,
18005564,5.983333333,
18005564,9.966666667,
18005565,7.083333333,
18005567,5.2,
18005567,3.933333333,
18005568,,
18005568,1.2,
18005569,2.933333333,
18005569,8.983333333,
18005570,4.633333333,
18005570,2.433333333,
18005571,3.8,
18005571,3.416666667,
18005572,4.866666667,
18005572,10.41666667,
18005573,,
18005573,3.6,
18005574,3.7,
18005574,,
18005574,6.766666667,
18005575,3.566666667,
18005575,3.016666667,
18005576,,
18005576,4.366666667,
18005577,8.466666667,
18005577,4.883333333,
18005578,8.016666667,
18005578,9.333333333,
18005579,7.766666667,
18005581,11,
18005582,6.283333333,
18005582,6.2,
18005583,2.016666667,
18005583,3.666666667,
18005583,4.95,
18005584,6.333333333,
18005584,0,
18005586,11.13333333,
18005586,12.31666667,
18005587,16.1,
18005588,6.516666667,
18005588,9.766666667,
18005589,5.533333333,
18005589,5.55,
18005590,11.11666667,
18005590,4.433333333,
18005590,2.983333333,
18005591,2.55,
18005591,6.75,
18005592,10.7,
18005593,5.866666667,
18005593,4,
18005594,4.433333333,
18005594,8.233333333,
18005596,8.716666667,
18005598,3.566666667,
18005598,6.65,
18005599,1.283333333,
18005599,,
18005599,,
18005600,9.283333333,
18005600,4.983333333,
18005602,4.683333333,
18005602,6.083333333,
18005603,8.95,
18005604,6.616666667,
18005605,,
18005605,3.683333333,
18005606,,
18005607,5.3,
18005607,11.06666667,
18005608,,
18005608,7.2,
18005609,9.083333333,
18005610,2.283333333,
18005610,5.266666667,
18005611,5.633333333,
18005611,5.183333333,
18005611,5.483333333,
18005612,14.83333333,
18005612,4.666666667,
18005613,11.4,
18005614,2.9,
18005615,3.516666667,
18005616,8.383333333,
18005617,12.1,
18005617,,
18005618,8.1,
18005619,,
18005619,5.55,
18005619,3.733333333,
18005619,,
18005619,,
18005619,5.666666667,
18005619,5.7,
18005619,,
18005619,,
18005619,,
18005621,2.116666667,
18005622,4.266666667,
18005622,8.433333333,
18005623,12.88333333,
18005624,4.2,
18005624,14.41666667,
18005625,4.416666667,
18005625,3.083333333,
18005626,6.766666667,
18005626,8.25,
18005627,16.01666667,
18005628,21.25,
18005629,2.866666667,
18005629,7.333333333,
18005630,,
18005630,,
18005630,3.483333333,
18005632,10.08333333,
18005633,5.883333333,
18005633,3.683333333,
18005633,3.466666667,
18005634,0,
18005635,,
18005635,1.033333333,
18005635,2.533333333,
18005635,5.183333333,
18005636,4.066666667,
18005636,12.05,
18005637,0,
18005637,9.75,
18005637,1.883333333,
18005638,4.316666667,
18005638,2.566666667,
18005639,3.333333333,
18005639,29.65,
18005640,3.3,
18005640,3.2,
18005641,3.85,
18005641,2.05,
18005642,12.13333333,
18005643,,
18005643,2.433333333,
18005645,0,
18005645,,
18005645,8.85,
18005647,2.216666667,
18005647,4.316666667,
18005648,3.916666667,
18005648,4.016666667,
18005648,,
18005649,13.28333333,
18005650,0,
18005650,,
18005650,4.816666667,
18005650,4.933333333,
18005651,2.333333333,
18005651,4.183333333,
18005652,,
18005652,2.966666667,
18005652,,
18005653,14.23333333,
18005654,4.516666667,
18005654,4.85,
18005654,,
18005655,13.2,
18005656,3.75,
18005656,2.533333333,
18005656,0.25,
18005657,1.716666667,
18005657,,
18005657,1.65,
18005658,2.666666667,
18005658,5.75,
18005660,7.033333333,
18005660,4.066666667,
18005661,14.61666667,
18005662,10.11666667,
18005663,,
18005663,,
18005663,2.633333333,
18005663,20.06666667,
18005664,7.466666667,
18005664,23.13333333,
18005666,6.316666667,
18005666,3.283333333,
18005668,18.46666667,
18005670,5.7,
18005670,5.616666667,
18005672,10,
18005673,5.35,
18005673,4.8,
18005674,6.133333333,
18005674,4.2,
18005675,4.566666667,
18005675,4.85,
18005675,3.983333333,
18005677,8.216666667,
18005677,7.716666667,
18005677,3.05,
18005678,4.516666667,
18005678,2.216666667,
18005679,,
18005679,,
18005680,14.31666667,
18005681,18.23333333,
18005682,,
18005682,1.05,
18005682,,
18005683,5.416666667,
18005683,3,
18005685,4.916666667,
18005688,3.533333333,
18005689,1.9,
18005689,4.616666667,
18005689,,
18005689,,
18005690,3.416666667,
18005690,4.716666667,
18005691,10.46666667,
18005693,12.96666667,
18005694,5.35,
18005694,6.35,
18005694,7.533333333,
18005696,4.85,
18005696,6.85,
18005697,6.35,
18005698,9.233333333,
18005698,6.833333333,
18005699,2.4,
18005699,6.166666667,
18005700,,
18005700,1.766666667,
18005700,0.9,
18005701,18.45,
18005702,14.81666667,
18005702,11.76666667,
18005703,11.45,
18005704,,
18005704,2.116666667,
18005706,4.083333333,
18005706,2.166666667,
18005707,5.4,
18005707,2.5,
18005707,,
18005708,,
18005708,,
18005708,,
18005708,,
18005709,5.533333333,
18005709,2.666666667,
18005711,3.433333333,
18005711,4.6,
18005712,,
18005712,3.2,
18005712,3.566666667,
18005713,,
18005713,4.333333333,
18005715,,
18005715,,
18005716,11.66666667,
18005718,1.883333333,
18005718,7.433333333,
18005718,3.6,
18005719,2.983333333,
18005719,3.216666667,
18005721,17,
18005722,3.933333333,
18005722,2.833333333,
18005722,,
18005722,,
18005722,2.216666667,
18005722,,
18005722,,
18005722,,
18005722,2.583333333,
18005722,,
18005724,3.683333333,
18005724,,
18005725,,
18005725,11.5,
18005726,,
18005726,,
18005726,,
18005727,3.1,
18005727,1.283333333,
18005728,16.46666667,
18005729,8.416666667,
18005730,2.8,
18005730,4.683333333,
18005731,2.283333333,
18005731,5.933333333,
18005732,8.016666667,
18005732,2.733333333,
18005733,10.98333333,
18005733,3.133333333,
18005734,6.266666667,
18005734,15.38333333,
18005735,21.4,
18005736,,
18005736,,
18005736,12.91666667,
18005736,3.55,
18005736,,
18005736,4.25,
18005737,3.316666667,
18005737,4.866666667,
18005738,9.016666667,
18005739,2.416666667,
18005739,7.733333333,
18005741,4.233333333,
18005742,13.3,
18005743,5.316666667,
18005743,4.2,
18005744,4.866666667,
18005744,4.116666667,
18005745,17.33333333,
18005746,1.883333333,
18005746,,
18005746,5.6,
18005747,13.95,
18005748,8.783333333,
18005748,3.983333333,
18005749,2.866666667,
18005749,22.93333333,
18005749,,
18005750,24.71666667,
18005751,12.26666667,
18005752,8.583333333,
18005753,2.016666667,
18005753,3.466666667,
18005754,5.283333333,
18005754,,
18005754,8.2,
18005755,1.466666667,
18005755,4.816666667,
18005756,4.4,
18005756,4.15,
18005757,,
18005758,13.31666667,
18005759,8.3,
18005759,4.733333333,
18005760,3.083333333,
18005760,,
18005760,5.35,
18005761,6.833333333,
18005761,16.23333333,
18005762,,
18005762,13.43333333,
18005763,12.11666667,
18005765,2.483333333,
18005765,2.65,
18005765,,
18005766,3.033333333,
18005767,8,
18005768,4.766666667,
18005768,3.4,
18005769,7.333333333,
18005771,13.85,
18005772,4.25,
18005772,3.833333333,
18005773,14.98333333,
18005774,3.916666667,
18005774,3.666666667,
18005775,0,
18005775,,
18005776,6.283333333,
18005776,,
18005776,4.583333333,
18005777,3.316666667,
18005777,4.883333333,
18005778,13.51666667,
18005779,6.583333333,
18005780,6.75,
18005780,2.85,
18005781,9.9,
18005783,16.16666667,
18005784,4.85,
18005784,6.116666667,
18005785,15.13333333,
18005785,4.55,
18005786,2.616666667,
18005787,3.516666667,
18005788,3.316666667,
18005788,4.2,
18005789,4.016666667,
18005789,8.316666667,
18005790,3.183333333,
18005790,10.11666667,
18005791,8.666666667,
18005792,15.73333333,
18005793,3.516666667,
18005794,8.366666667,
18005796,4.666666667,
18005796,4.433333333,
18005797,3,
18005797,9.9,
18005798,9.266666667,
18005798,8.183333333,
18005799,4.816666667,
18005800,19.33333333,
18005801,2.3,
18005801,2.816666667,
18005802,3.066666667,
18005803,,
18005803,1.8,
18005804,13.31666667,
18005804,2.933333333,
18005806,10.5,
18005807,4.75,
18005807,3.016666667,
18005808,3.016666667,
18005810,6.483333333,
18005810,3.05,
18005811,2.616666667,
18005811,2.883333333,
18005814,10.61666667,
18005814,4.933333333,
18005815,4.9,
18005815,5.7,
18005816,3,
18005816,4.916666667,
18005817,4.1,
18005819,2.883333333,
18005819,5.233333333,
18005820,2.983333333,
18005820,3.4,
18005821,17.31666667,
18005822,16.88333333,
18005823,5.3,
18005823,4.566666667,
18005824,16.73333333,
18005825,8.6,
18005826,13.46666667,
18005827,25.71666667,
18005828,3.8,
18005828,5.383333333,
18005829,19.98333333,
18005830,3.833333333,
18005830,9.05,
18005831,7.733333333,
18005831,7.083333333,
18005831,4.616666667,
18005832,5.166666667,
18005832,8.733333333,
18005833,,
18005833,5.716666667,
18005834,5.266666667,
18005834,4.8,
18005834,,
18005835,4.633333333,
18005836,1.9,
18005836,8.9,
18005837,,
18005837,13.43333333,
18005838,4.05,
18005838,4.133333333,
18005839,14.41666667,
18005840,4.366666667,
18005840,7.333333333,
18005841,4.183333333,
18005841,3.933333333,
18005842,6.75,
18005842,4.466666667,
18005843,,
18005843,,
18005844,4.3,
18005844,3.916666667,
18005845,4.45,
18005845,0,
18005846,4.116666667,
18005847,4.933333333,
18005847,4.816666667,
18005848,,
18005849,,
18005849,15.18333333,
18005850,3.683333333,
18005850,2.133333333,
18005851,3.733333333,
18005851,3.133333333,
18005852,,
18005852,10.65,
18005853,5.25,
18005853,3.616666667,
18005854,4.85,
18005854,4.733333333,
18005854,4.7,
18005855,,
18005855,6.883333333,
18005855,3.466666667,
18005855,4.35,
18005855,,
18005855,,
18005856,7.1,
18005857,4.783333333,
18005857,3.366666667,
18005858,1.033333333,
18005858,,
18005858,6.033333333,
18005858,3.916666667,
18005859,4.45,
18005859,4.383333333,
18005860,,
18005860,2.3,
18005860,,
18005861,,
18005861,5.416666667,
18005862,3.3,
18005862,2.033333333,
18005863,4.75,
18005863,1.25,
18005864,2.7,
18005864,7.416666667,
18005865,5.866666667,
18005865,5.116666667,
18005866,5.716666667,
18005868,6,
18005868,6.466666667,
18005870,11.76666667,
18005871,3.916666667,
18005871,2.783333333,
18005872,10.8,
18005873,23.36666667,
18005873,5,
18005874,8.783333333,
18005875,3.266666667,
18005875,3.433333333,
18005876,3.983333333,
18005876,7.633333333,
18005876,3.566666667,
18005876,6.316666667,
18005876,11.41666667,
18005876,4.416666667,
18005878,2.6,
18005878,,
18005878,4.116666667,
18005879,3.8,
18005879,12.9,
18005880,16.78333333,
18005881,3.066666667,
18005881,5.883333333,
18005882,15.31666667,
18005882,4.683333333,
18005885,6.133333333,
18005885,8.8,
18005885,8.133333333,
18005886,6.133333333,
18005886,4.116666667,
18005887,6.65,
18005888,9.916666667,
18005888,24.68333333,
18005889,,
18005889,3.783333333,
18005890,9.35,
18005891,12.35,
18005893,4.983333333,
18005894,6.233333333,
18005894,5.783333333,
18005895,4.133333333,
18005895,4.4,
18005896,8.183333333,
18005897,14.4,
18005897,6.316666667,
18005898,3.183333333,
18005898,29.88333333,
18005899,8.35,
18005900,,
18005900,6.916666667,
18005901,4.516666667,
18005901,4.433333333,
18005901,3.983333333,
18005904,6.783333333,
18005905,6.6,
18005905,8.35,
18005906,,
18005906,,
18005906,4.883333333,
18005906,7.766666667,
18005907,,
18005907,4.183333333,
18005908,4.6,
18005908,8.15,
18005908,5.283333333,
18005908,3.733333333,
18005908,3.283333333,
18005908,1.933333333,
18005908,3.133333333,
18005909,5.2,
18005909,6.366666667,
18005909,6.75,
18005909,2.883333333,
18005910,9.166666667,
18005910,4.25,
18005911,8.016666667,
18005913,4.583333333,
18005913,5.4,
18005913,4.45,
18005915,8.9,
18005915,4.95,
18005916,8.216666667,
18005917,4.5,
18005917,5.05,
18005918,10.08333333,
18005919,4.65,
18005919,4.833333333,
18005919,5,
18005920,9.25,
18005921,4.7,
18005921,31.66666667,
18005922,3.033333333,
18005922,,
18005922,6.733333333,
18005922,,
18005922,,
18005922,,
18005922,,
18005922,,
18005922,,
18005922,,
18005923,4.516666667,
18005923,4.566666667,
18005923,4.4,
18005924,10.83333333,
18005926,0.266666667,
18005926,5.566666667,
18005927,7.266666667,
18005929,1.65,
18005929,,
18005931,3.966666667,
18005931,,
18005931,4.5,
18005931,,
18005931,3.866666667,
18005931,6.1,
18005931,,
18005932,7.783333333,
18005932,6.016666667,
18005933,,
18005933,0,
18005934,8.983333333,
18005936,5.166666667,
18005936,,
18005936,2.783333333,
18005937,4.316666667,
18005938,5.016666667,
18005938,8.466666667,
18005939,12.51666667,
18005939,17.86666667,
18005940,14.23333333,
18005941,4.783333333,
18005941,4.65,
18005942,3.2,
18005942,7.033333333,
18005943,13.31666667,
18005944,0.75,
18005944,4.25,
18005944,4.35,
18005945,4.216666667,
18005945,3.85,
18005946,,
18005946,,
18005947,7.116666667,
18005948,,
18005948,3.483333333,
18005949,5.3,
18005949,5.383333333,
18005950,7.75,
18005950,3.8,
18005951,,
18005951,10.1,
18005952,4.866666667,
18005952,3.516666667,
18005953,0.65,
18005953,6.783333333,
18005953,,
18005954,12.95,
18005955,1.15,
18005955,,
18005955,4.016666667,
18005957,3.816666667,
18005957,,
18005957,11.91666667,
18005958,8.883333333,
18005959,9.6,
18005959,7.3,
18005960,,
18005960,1.65,
18005960,,
18005961,15.33333333,
18005963,13.66666667,
18005964,3.283333333,
18005964,4.216666667,
18005965,,
18005965,3.783333333,
18005965,3.183333333,
18005965,,
18005965,,
18005965,,
18005965,4.85,
18005965,,
18005965,,
18005965,,
18005965,4.3,
18005965,,
18005965,4,
18005966,2.966666667,
18005966,3.7,
18005967,,
18005967,,
18005967,7.3,
18005969,,
18005969,4.95,
18005969,3.933333333,
18005971,14.78333333,
18005972,3.066666667,
18005972,28.83333333,
18005973,1.616666667,
18005973,2.183333333,
18005974,9.25,
18005975,10.3,
18005976,2.2,
18005976,,
18005976,,
18005976,2.066666667,
18005976,,
18005976,2.816666667,
18005976,2.15,
18005976,,
18005976,2.333333333,
18005976,,
18005977,1.533333333,
18005977,5.083333333,
18005978,5.216666667,
18005979,5.783333333,
18005979,3.883333333,
18005979,,
18005979,,
18005979,4.966666667,
18005979,,
18005980,10.23333333,
18005981,3.166666667,
18005981,,
18005982,9.033333333,
18005982,11.16666667,
18005984,10.31666667,
18005985,5.366666667,
18005985,9.033333333,
18005986,9.833333333,
18005987,10.55,
18005987,8.333333333,
18005988,4.833333333,
18005988,,
18005988,3.933333333,
18005989,12.33333333,
18005991,4.35,
18005991,,
18005992,6.683333333,
18005993,5.366666667,
18005993,4.95,
18005995,3.55,
18005995,,
18005996,7.316666667,
18005997,19.45,
18005998,10.71666667,
18005998,6.483333333,
18005999,6.35,
18006000,,
18006000,1.8,
18006001,14.15,
18006001,5.45,
18006001,0.55,
18006002,7.433333333,
18006002,3.6,
18006003,7.216666667,
18006003,7.883333333,
18006003,,
18006004,2.733333333,
18006004,6.7,
18006005,,
18006005,1.383333333,
18006005,2.283333333,
18006006,,
18006006,12.28333333,
18006006,,
18006006,,
18006007,3.183333333,
18006007,3.183333333,
18006010,19.58333333,
18006011,4.083333333,
18006011,4.15,
18006011,4.5,
18006012,2.866666667,
18006012,2.7,
18006013,3.866666667,
18006014,4.133333333,
18006014,3.716666667,
18006015,5.266666667,
18006015,5.266666667,
18006015,3.266666667,
18006016,4.5,
18006016,6.216666667,
18006018,7.9,
18006018,3.516666667,
18006019,4.266666667,
18006019,6.183333333,
18006019,5.983333333,
18006022,1.5,
18006022,1.55,
18006022,,
18006022,,
18006023,3.266666667,
18006023,3.233333333,
18006023,5.966666667,
18006024,3.883333333,
18006024,8.983333333,
18006027,35.73333333,
18006028,14.66666667,
18006030,10.46666667,
18006030,5.95,
18006031,3.65,
18006031,10.91666667,
18006032,3.45,
18006032,2.55,
18006033,7.733333333,
18006034,9.266666667,
18006034,,
18006034,4.066666667,
18006035,5.883333333,
18006036,4.2,
18006036,4.75,
18006036,4.8,
18006037,22.21666667,
18006038,3.85,
18006038,6.25,
18006038,,
18006039,8.3,
18006039,5.633333333,
18006039,5.7,
18006041,11.95,
18006042,2.233333333,
18006043,,
18006043,3.283333333,
18006044,6.45,
18006044,2.4,
18006045,3.633333333,
18006045,4.9,
18006047,6.833333333,
18006047,17.83333333,
18006048,3.766666667,
18006048,5.2,
18006049,12.96666667,
18006050,14.8,
18006050,,
18006050,5.266666667,
18006050,6.45,
18006051,9.433333333,
18006051,8.783333333,
18006051,5.783333333,
18006052,3.466666667,
18006052,3.866666667,
18006052,2.633333333,
18006053,8.05,
18006053,7.783333333,
18006055,6.35,
18006055,7.316666667,
18006056,6.133333333,
18006056,,
18006058,3.616666667,
18006058,3.6,
18006058,3.9,
18006059,4.25,
18006059,6.666666667,
18006060,16.26666667,
18006061,4.483333333,
18006061,8.533333333,
18006062,,
18006062,3,
18006062,4.316666667,
18006063,7.1,
18006063,,
18006063,,
18006064,,
18006064,4.683333333,
18006065,0.066666667,
18006065,1.333333333,
18006066,,
18006066,3.283333333,
18006067,6.8,
18006068,3.066666667,
18006068,4.533333333,
18006068,3.866666667,
18006069,9.666666667,
18006071,2.616666667,
18006071,2.516666667,
18006072,22.56666667,
18006073,,
18006073,3.35,
18006074,13.6,
18006074,3.716666667,
18006076,,
18006076,4.316666667,
18006076,4.55,
18006077,7.416666667,
18006077,5.216666667,
18006077,,
18006078,3.033333333,
18006078,5.066666667,
18006079,20.11666667,
18006080,3.083333333,
18006080,3.333333333,
18006080,7.95,
18006081,13.86666667,
18006082,3.933333333,
18006082,4.566666667,
18006084,4.166666667,
18006084,6.2,
18006085,2.833333333,
18006085,,
18006086,10.73333333,
18006087,2.183333333,
18006087,1.966666667,
18006088,7.083333333,
18006088,12.06666667,
18006090,16.48333333,
18006091,8.05,
18006092,10.68333333,
18006092,10.68333333,
18006092,10.08333333,
18006092,10.55,
18006092,10.55,
18006093,7.75,
18006094,2.833333333,
18006094,12.48333333,
18006094,,
18006095,,
18006095,4.75,
18006096,,
18006096,3.8,
18006097,3.966666667,
18006097,10.71666667,
18006098,6.966666667,
18006098,0,
18006098,2.7,
18006099,3.433333333,
18006099,3.65,
18006099,,
18006100,19.75,
18006100,,
18006100,9.583333333,
18006101,,
18006101,3.9,
18006101,,
18006102,3.183333333,
18006102,4.083333333,
18006103,,
18006103,4.283333333,
18006103,3.383333333,
18006104,,
18006104,0.9,
18006105,3.666666667,
18006105,7.85,
18006106,7.516666667,
18006107,1.6,
18006108,,
18006108,2.266666667,
18006108,,
18006109,1.55,
18006109,,
18006109,,
18006110,3.9,
18006110,,
18006110,5.366666667,
18006110,,
18006111,5.433333333,
18006111,4.666666667,
18006111,3.716666667,
18006112,4.75,
18006113,14.75,
18006113,15.5,
18006115,3.983333333,
18006115,5.516666667,
18006116,12.35,
18006117,6.516666667,
18006117,3.95,
18006118,6.433333333,
18006118,,
18006118,2.516666667,
18006119,,
18006119,17.85,
18006120,,
18006120,,
18006120,,
18006120,,
18006120,2.15,
18006120,0.9,
18006120,2.2,
18006120,,
18006120,2.35,
18006120,2.233333333,
18006122,,
18006122,3.716666667,
18006122,,
18006123,,
18006123,3.35,
18006124,28.46666667,
18006124,3.766666667,
18006125,10.91666667,
18006126,3.533333333,
18006126,7.05,
18006127,2.433333333,
18006127,6.266666667,
18006127,,
18006128,7.583333333,
18006128,,
18006129,18.21666667,
18006130,12.66666667,
18006131,3.383333333,
18006131,5.2,
18006132,4.766666667,
18006132,3.966666667,
18006133,14.16666667,
18006134,3.133333333,
18006134,30.86666667,
18006136,5.183333333,
18006136,4.766666667,
18006136,4.916666667,
18006138,2.933333333,
18006138,,
18006139,4.416666667,
18006139,,
18006140,12.75,
18006140,,
18006141,,
18006141,4.233333333,
18006141,2.733333333,
18006142,4.9,
18006142,8.25,
18006142,3.95,
18006142,4.766666667,
18006143,3.116666667,
18006143,3.3,
18006144,1.133333333,
18006146,44.91666667,
18006146,6.916666667,
18006147,3.566666667,
18006147,12.23333333,
18006148,3.716666667,
18006149,3.583333333,
18006149,6.733333333,
18006150,11.73333333,
18006150,3.633333333,
18006150,,
18006151,3.3,
18006151,4.383333333,
18006151,8.166666667,
18006152,4.55,
18006152,16.91666667,
18006153,,
18006153,,
18006153,5.466666667,
18006153,4.883333333,
18006153,,
18006154,6.3,
18006154,2.966666667,
18006155,3.333333333,
18006155,2.733333333,
18006155,12.03333333,
18006156,6.466666667,
18006157,3.633333333,
18006157,,
18006158,5.733333333,
18006159,3.683333333,
18006159,1.5,
18006160,8.916666667,
18006161,2.633333333,
18006161,,
18006162,6.45,
18006162,4.6,
18006162,5.15,
18006163,11.43333333,
18006164,1.8,
18006164,,
18006164,7.333333333,
18006165,4.833333333,
18006165,,
18006166,,
18006166,,
18006166,13.78333333,
18006167,,
18006167,6,
18006167,6.966666667,
18006168,4.25,
18006168,2.066666667,
18006169,3.45,
18006169,6.8,
18006172,,
18006172,6.6,
18006173,10.41666667,
18006174,4.65,
18006174,4.283333333,
18006176,10.8,
18006177,4.383333333,
18006177,11.61666667,
18006178,3.366666667,
18006178,7.583333333,
18006179,,
18006179,3.083333333,
18006179,3.2,
18006179,,
18006180,,
18006180,,
18006180,,
18006181,3.516666667,
18006181,4,
18006182,10.5,
18006183,8.616666667,
18006183,4.616666667,
18006184,3.9,
18006184,4.583333333,
18006185,6.066666667,
18006185,9.2,
18006186,3.783333333,
18006186,8.416666667,
18006187,12.91666667,
18006187,4.3,
18006188,2.166666667,
18006188,6.216666667,
18006189,,
18006189,4.083333333,
18006190,20.46666667,
18006191,4.833333333,
18006191,,
18006191,3.416666667,
18006192,5.466666667,
18006192,4.5,
18006193,3.483333333,
18006193,3.75,
18006194,6.266666667,
18006194,10.4,
18006195,11.16666667,
18006198,9.75,
18006199,4.5,
18006199,5.516666667,
18006200,4.183333333,
18006200,5.466666667,
18006200,,
18006201,3.933333333,
18006201,2.783333333,
18006202,3.3,
18006202,11.31666667,
18006202,3.383333333,
18006203,4.216666667,
18006203,3.716666667,
18006204,3.133333333,
18006204,3.666666667,
18006204,4.816666667,
18006205,10.8,
18006205,3.816666667,
18006205,3.533333333,
18006206,,
18006206,2.433333333,
18006208,2.316666667,
18006208,7.783333333,
18006209,9.8,
18006210,7.583333333,
18006211,4.533333333,
18006211,2.75,
18006214,,
18006214,,
18006215,2.983333333,
18006215,,
18006216,14.1,
18006216,8.866666667,
18006219,,
18006220,5.383333333,
18006221,2.766666667,
18006221,2.866666667,
18006222,4.083333333,
18006222,3.75,
18006222,6.666666667,
18006223,11.45,
18006223,4.9,
18006224,11.58333333,
18006226,4.033333333,
18006227,3.783333333,
18006227,3.783333333,
18006227,3.733333333,
18006228,3.283333333,
18006228,6.466666667,
18006229,4.066666667,
18006229,6.133333333,
18006231,12.81666667,
18006232,4.216666667,
18006232,5.483333333,
18006233,16.98333333,
18006234,3.566666667,
18006234,,
18006235,2.383333333,
18006236,,
18006236,4.766666667,
18006236,,
18006237,3.933333333,
18006237,,
18006238,4.05,
18006238,3.5,
18006239,3.833333333,
18006239,4.216666667,
18006240,7.983333333,
18006241,7.716666667,
18006242,3.316666667,
18006243,4.483333333,
18006243,1.316666667,
18006243,7.85,
18006244,3.883333333,
